VCD info: dumpfile BELIEF_PROPAGATION.vcd opened for output.
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

00111111101101110000101000111101 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00111100111101011100001010001111 00111111010110011001100110011010
00000000000000000000000000000000 00111101110011001100110011001101 00000000000000000000000000000000 00111110011010111000010100011111 00000000000000000000000000000000 00111111010110011001100110011010
00000000000000000000000000000000 00000000000000000000000000000000 00111111000010100011110101110001 00111110011010111000010100011111 00111100111101011100001010001111 00000000000000000000000000000000

10111100111101011100001010001111 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111111010110011001100110011010 10111100111101011100001010001111
00000000000000000000000000000000 10111110011010111000010100011111 00000000000000000000000000000000 10111101110011001100110011001101 00000000000000000000000000000000 10111101110011001100110011001101
00000000000000000000000000000000 00000000000000000000000000000000 10111100111101011100001010001111 10111100111101011100001010001111 10111110011010111000010100011111 00000000000000000000000000000000

00111111101101110000101000111101 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111110010011001100110011001000 00111111010000000000000000000000
00000000000000000000000000000000 00111101110011001100110011001100 00000000000000000000000000000000 00111110010011001100110011001110 00000000000000000000000000000000 00111111010100011110101110000101
00000000000000000000000000000000 00000000000000000000000000000000 00111111000010100011110101110001 00111110000001010001111010111001 10111111010100011110101110000110 00000000000000000000000000000000

00111110010011001100110011001000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 10111111010000000000000000000000 00111110010011001100110011001000
00000000000000000000000000000000 10111110010011001100110011001110 00000000000000000000000000000000 10111101110011001100110011001100 00000000000000000000000000000000 10111101110011001100110011001100
